epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,600.241,1.45004,1.0201,1.23002,0.54177,0.58618,0.55008,0.24391,1.86207,0.91002,1.26639,0.0667628,6.66076e-05,6.66076e-05
2,1193.27,1.33038,0.83264,1.15672,0.61466,0.51302,0.55232,0.24042,1.84371,0.98685,1.25652,0.0334935,0.000130609,0.000130609
3,1778.02,1.28391,0.76749,1.13231,0.61162,0.56715,0.59549,0.26076,1.82532,0.94887,1.25695,0.00022147,0.000191945,0.000191945
4,2361.18,1.2509,0.72228,1.11726,0.63421,0.60222,0.62068,0.26586,1.82607,0.90319,1.25719,0.000188002,0.000188002,0.000188002
5,2943.13,1.20604,0.68596,1.09483,0.67049,0.67258,0.63235,0.27355,1.8221,0.89374,1.25859,0.000184003,0.000184003,0.000184003
6,3522.81,1.17191,0.65071,1.07801,0.70742,0.65823,0.68503,0.29675,1.8188,0.8846,1.2533,0.000180004,0.000180004,0.000180004
7,4102.73,1.1385,0.62157,1.06285,0.69772,0.63835,0.64502,0.27029,1.86259,0.93928,1.2836,0.000176005,0.000176005,0.000176005
8,4686.37,1.10433,0.5957,1.04993,0.71629,0.65842,0.67531,0.2887,1.83193,0.90382,1.26786,0.000172006,0.000172006,0.000172006
9,5266.79,1.07843,0.56984,1.03071,0.73076,0.65414,0.69583,0.28645,1.83451,0.86378,1.26582,0.000168006,0.000168006,0.000168006
10,5847.82,1.04743,0.54928,1.02006,0.72718,0.61599,0.64962,0.27841,1.87853,0.90546,1.30042,0.000164007,0.000164007,0.000164007
11,6433.22,1.00421,0.52559,1.00292,0.73096,0.6418,0.67614,0.28232,1.8566,0.8848,1.3073,0.000160008,0.000160008,0.000160008
12,7015.54,0.98286,0.50775,0.99042,0.67697,0.66792,0.66661,0.27057,1.87013,0.86623,1.31526,0.000156009,0.000156009,0.000156009
13,7598.15,0.96098,0.4914,0.98115,0.71639,0.63262,0.68463,0.2946,1.87662,0.89163,1.31173,0.00015201,0.00015201,0.00015201
14,8182.16,0.92509,0.46927,0.96872,0.76497,0.6594,0.69314,0.285,1.88582,0.90273,1.33098,0.00014801,0.00014801,0.00014801
15,8767.54,0.90159,0.45578,0.95832,0.76131,0.66069,0.66988,0.27583,1.87442,0.88178,1.32394,0.000144011,0.000144011,0.000144011
16,9354.99,0.87635,0.44476,0.94693,0.73517,0.69054,0.69102,0.2851,1.89311,0.88852,1.33752,0.000140012,0.000140012,0.000140012
17,9937.04,0.8541,0.43261,0.94032,0.76236,0.65348,0.69764,0.28892,1.89803,0.91565,1.33325,0.000136013,0.000136013,0.000136013
18,10517.6,0.82771,0.41643,0.93272,0.71814,0.64194,0.68282,0.2761,1.90367,0.924,1.35352,0.000132014,0.000132014,0.000132014
7,532.099,1.13355,0.62215,1.06398,0.67214,0.62243,0.63384,0.26241,1.86464,0.93163,1.27174,0.000176005,0.000176005,0.000176005
8,1062.59,1.10788,0.60089,1.04638,0.67814,0.63663,0.66652,0.27767,1.84645,0.86461,1.27427,0.000172006,0.000172006,0.000172006
9,1594.02,1.07244,0.56962,1.03261,0.66773,0.66193,0.68794,0.2825,1.85,0.89555,1.29227,0.000168006,0.000168006,0.000168006
10,2124.79,1.04083,0.54469,1.01983,0.72958,0.63888,0.66969,0.27748,1.85734,0.90418,1.26889,0.000164007,0.000164007,0.000164007
11,2656.84,1.00452,0.52273,1.00185,0.7427,0.66522,0.69429,0.28659,1.85765,0.87642,1.3072,0.000160008,0.000160008,0.000160008
12,3189.33,0.9818,0.50692,0.98901,0.74591,0.66394,0.69756,0.29096,1.85486,0.85889,1.28457,0.000156009,0.000156009,0.000156009
13,3720.49,0.95513,0.48913,0.9806,0.7285,0.66657,0.67461,0.28413,1.88011,0.89439,1.32165,0.00015201,0.00015201,0.00015201
14,4252.09,0.92843,0.47646,0.97243,0.77299,0.65707,0.70652,0.29006,1.87378,0.86586,1.32801,0.00014801,0.00014801,0.00014801
15,4783.96,0.897,0.45623,0.962,0.70509,0.68398,0.69433,0.29024,1.90427,0.90748,1.34602,0.000144011,0.000144011,0.000144011
16,5315.5,0.88035,0.44597,0.95432,0.77179,0.65672,0.68958,0.2887,1.88096,0.89443,1.33862,0.000140012,0.000140012,0.000140012
17,5847.12,0.85433,0.43132,0.94021,0.76305,0.66542,0.70197,0.28873,1.86928,0.87619,1.33993,0.000136013,0.000136013,0.000136013
18,6378.59,0.83435,0.42108,0.93246,0.72764,0.6684,0.7166,0.29842,1.87662,0.89755,1.33674,0.000132014,0.000132014,0.000132014
19,6909.52,0.81875,0.40995,0.92789,0.73471,0.67455,0.69414,0.29026,1.89444,0.88993,1.34014,0.000128014,0.000128014,0.000128014
20,7436.38,0.79809,0.40124,0.91971,0.72976,0.69893,0.70485,0.29355,1.90132,0.89994,1.3505,0.000124015,0.000124015,0.000124015
21,7964.66,0.77971,0.39015,0.91351,0.75535,0.67295,0.69547,0.2854,1.91239,0.92493,1.35505,0.000120016,0.000120016,0.000120016
22,8496.48,0.75966,0.38109,0.90768,0.73134,0.68229,0.69347,0.28911,1.91261,0.90756,1.35818,0.000116017,0.000116017,0.000116017
23,9028.45,0.74918,0.37231,0.90226,0.78465,0.63991,0.68567,0.2841,1.92059,0.9171,1.35846,0.000112018,0.000112018,0.000112018
24,9561.03,0.73201,0.36374,0.89941,0.7503,0.67829,0.69784,0.29141,1.92528,0.92997,1.37439,0.000108018,0.000108018,0.000108018
25,10095.8,0.71962,0.35977,0.89615,0.74827,0.65868,0.68362,0.29129,1.91892,0.94725,1.3833,0.000104019,0.000104019,0.000104019
26,10631.7,0.70911,0.35502,0.89394,0.80497,0.65106,0.7002,0.29283,1.91661,0.92808,1.39232,0.00010002,0.00010002,0.00010002
27,11169.5,0.69412,0.34632,0.88709,0.76636,0.66201,0.70858,0.28987,1.93183,0.94786,1.39097,9.60208e-05,9.60208e-05,9.60208e-05
28,11706.1,0.68457,0.33961,0.88511,0.74413,0.6684,0.70587,0.28604,1.92672,0.95891,1.40219,9.20216e-05,9.20216e-05,9.20216e-05
29,12242.2,0.67217,0.33511,0.88267,0.73058,0.67855,0.70527,0.28802,1.93888,0.94901,1.41498,8.80224e-05,8.80224e-05,8.80224e-05
30,12779.4,0.66579,0.33114,0.8812,0.75226,0.6833,0.70151,0.28771,1.93201,0.97499,1.41449,8.40232e-05,8.40232e-05,8.40232e-05
31,13316.4,0.64977,0.32433,0.87704,0.77782,0.65468,0.70326,0.28627,1.94107,0.96643,1.42298,8.0024e-05,8.0024e-05,8.0024e-05
32,13853.2,0.64058,0.31957,0.87475,0.77592,0.66881,0.69717,0.28067,1.93988,0.97954,1.43186,7.60248e-05,7.60248e-05,7.60248e-05
33,14390.4,0.62769,0.31309,0.87063,0.75539,0.67353,0.70041,0.28209,1.94368,0.98006,1.43682,7.20256e-05,7.20256e-05,7.20256e-05
34,14925.4,0.61687,0.30842,0.86937,0.77809,0.67141,0.69418,0.28314,1.94472,0.99232,1.44717,6.80264e-05,6.80264e-05,6.80264e-05
35,15454.1,0.61349,0.307,0.86653,0.77734,0.66403,0.70398,0.29063,1.9434,0.98932,1.45077,6.40272e-05,6.40272e-05,6.40272e-05
36,15982,0.59962,0.30215,0.86454,0.76565,0.67533,0.70357,0.28782,1.9432,0.98639,1.45226,6.0028e-05,6.0028e-05,6.0028e-05
37,16508.5,0.59325,0.29747,0.86027,0.78703,0.66194,0.69702,0.28822,1.93983,0.98853,1.44988,5.60288e-05,5.60288e-05,5.60288e-05
38,17035.7,0.58422,0.292,0.85858,0.77111,0.66384,0.69767,0.28682,1.94514,0.98683,1.45635,5.20296e-05,5.20296e-05,5.20296e-05
39,17564.1,0.57851,0.28805,0.85724,0.77165,0.67489,0.69783,0.28519,1.95031,0.99231,1.46026,4.80304e-05,4.80304e-05,4.80304e-05
40,18094.3,0.57006,0.28445,0.85633,0.77901,0.66902,0.69806,0.28867,1.94943,0.9933,1.46544,4.40312e-05,4.40312e-05,4.40312e-05
41,18620.3,0.5289,0.24778,0.83647,0.7735,0.67445,0.69336,0.28777,1.95221,1.00477,1.47296,4.0032e-05,4.0032e-05,4.0032e-05
42,19142.8,0.51251,0.2417,0.83275,0.77038,0.67012,0.69619,0.28577,1.9555,1.01387,1.47222,3.60328e-05,3.60328e-05,3.60328e-05
43,19666.2,0.50733,0.23936,0.83002,0.77183,0.66801,0.69271,0.28606,1.95865,1.02449,1.4679,3.20336e-05,3.20336e-05,3.20336e-05
44,20189.3,0.49306,0.23264,0.82456,0.76475,0.67611,0.6932,0.28771,1.96047,1.02959,1.46389,2.80344e-05,2.80344e-05,2.80344e-05
45,20712.5,0.48123,0.22782,0.82201,0.77243,0.67178,0.69426,0.28676,1.96195,1.03589,1.46516,2.40352e-05,2.40352e-05,2.40352e-05
46,21235.6,0.47324,0.22461,0.8208,0.77104,0.6635,0.69125,0.28485,1.9623,1.04022,1.46821,2.0036e-05,2.0036e-05,2.0036e-05
47,21758.9,0.46401,0.22137,0.82036,0.76646,0.66372,0.6929,0.2845,1.96464,1.04209,1.4733,1.60368e-05,1.60368e-05,1.60368e-05
48,22282.4,0.45935,0.21952,0.81888,0.77379,0.66283,0.69701,0.28739,1.96544,1.04743,1.47774,1.20376e-05,1.20376e-05,1.20376e-05
49,22805.8,0.4493,0.21484,0.8182,0.80064,0.65094,0.69449,0.28455,1.96634,1.05131,1.48074,8.0384e-06,8.0384e-06,8.0384e-06
50,23329.9,0.44397,0.21274,0.81715,0.79181,0.65076,0.69438,0.28341,1.967,1.05457,1.48341,4.0392e-06,4.0392e-06,4.0392e-06
