epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.155,1.06533,0.70038,0.97888,0.94332,0.79715,0.90738,0.6414,0.9906,0.64025,0.94699,0.067062,3.2971e-05,3.2971e-05
2,297.515,1.03222,0.64976,0.97259,0.95198,0.89794,0.95646,0.7104,0.87985,0.46254,0.91255,0.0337606,6.49785e-05,6.49785e-05
3,438.362,1.00948,0.62518,0.96449,0.96836,0.92859,0.96891,0.75079,0.75015,0.3944,0.87629,0.000457972,9.5653e-05,9.5653e-05
4,580.815,0.98708,0.6121,0.94961,0.96344,0.93242,0.97083,0.75541,0.74116,0.38951,0.87324,9.40012e-05,9.40012e-05,9.40012e-05
5,727.452,0.98489,0.60696,0.95266,0.96343,0.93372,0.97041,0.75738,0.73901,0.38996,0.87295,9.20016e-05,9.20016e-05,9.20016e-05
6,872.131,0.97903,0.59996,0.95263,0.96403,0.93293,0.97021,0.75445,0.73709,0.38826,0.87283,9.0002e-05,9.0002e-05,9.0002e-05
7,1015.39,0.97593,0.59981,0.95064,0.96702,0.92588,0.97051,0.75534,0.73815,0.3875,0.87292,8.80024e-05,8.80024e-05,8.80024e-05
8,1161.36,0.97238,0.59638,0.94807,0.96314,0.93481,0.97012,0.75843,0.73493,0.38739,0.87228,8.60028e-05,8.60028e-05,8.60028e-05
9,1305.62,0.96713,0.58869,0.94604,0.96373,0.93182,0.96967,0.75754,0.73578,0.38865,0.87287,8.40032e-05,8.40032e-05,8.40032e-05
10,1457.71,0.97253,0.59263,0.9498,0.96153,0.93215,0.97035,0.75858,0.73377,0.38733,0.87218,8.20036e-05,8.20036e-05,8.20036e-05
11,1613.78,0.97511,0.59078,0.95359,0.95996,0.93291,0.97056,0.75624,0.73423,0.38725,0.87233,8.0004e-05,8.0004e-05,8.0004e-05
12,1770.21,0.97191,0.5949,0.94722,0.95842,0.93361,0.97029,0.75788,0.73337,0.38671,0.87217,7.80044e-05,7.80044e-05,7.80044e-05
13,1918.96,0.96784,0.58699,0.95167,0.96243,0.92937,0.97057,0.75757,0.73339,0.38569,0.87232,7.60048e-05,7.60048e-05,7.60048e-05
14,2072.82,0.96615,0.58799,0.94625,0.96295,0.93514,0.97037,0.75712,0.73413,0.38672,0.87265,7.40052e-05,7.40052e-05,7.40052e-05
15,2228.94,0.97247,0.58795,0.94817,0.95691,0.93432,0.97092,0.75768,0.73146,0.38601,0.87208,7.20056e-05,7.20056e-05,7.20056e-05
16,2380.71,0.95961,0.58446,0.94501,0.95867,0.93453,0.97091,0.75759,0.73124,0.38658,0.87201,7.0006e-05,7.0006e-05,7.0006e-05
17,2534.36,0.95533,0.57845,0.93904,0.96169,0.93524,0.97051,0.75872,0.73254,0.38702,0.87254,6.80064e-05,6.80064e-05,6.80064e-05
18,2688.15,0.95786,0.5857,0.94864,0.95972,0.93173,0.9707,0.76029,0.7304,0.38576,0.87206,6.60068e-05,6.60068e-05,6.60068e-05
19,2843.17,0.9627,0.57923,0.94299,0.96285,0.93359,0.97076,0.75917,0.72906,0.38514,0.87162,6.40072e-05,6.40072e-05,6.40072e-05
20,2996.75,0.95232,0.58459,0.94272,0.96057,0.93571,0.97075,0.75939,0.72945,0.38549,0.87168,6.20076e-05,6.20076e-05,6.20076e-05
21,3149.42,0.95722,0.57785,0.94052,0.95743,0.9332,0.97014,0.75885,0.73023,0.38477,0.87168,6.0008e-05,6.0008e-05,6.0008e-05
22,3305.58,0.96077,0.58218,0.94558,0.96076,0.9322,0.97047,0.75934,0.72877,0.3839,0.87135,5.80084e-05,5.80084e-05,5.80084e-05
23,3462.99,0.97007,0.58873,0.94422,0.9614,0.93244,0.97048,0.7589,0.72963,0.38502,0.87156,5.60088e-05,5.60088e-05,5.60088e-05
24,3617.41,0.96301,0.58453,0.94425,0.96173,0.93518,0.9705,0.75951,0.72938,0.38587,0.87152,5.40092e-05,5.40092e-05,5.40092e-05
25,3774.13,0.95953,0.58021,0.943,0.95976,0.93492,0.97102,0.75858,0.727,0.38475,0.8712,5.20096e-05,5.20096e-05,5.20096e-05
26,3928.48,0.9566,0.57531,0.93926,0.96155,0.9348,0.97065,0.75873,0.72835,0.38468,0.87181,5.001e-05,5.001e-05,5.001e-05
27,4084.28,0.95869,0.58247,0.94429,0.95705,0.93536,0.97037,0.75836,0.72823,0.38503,0.87159,4.80104e-05,4.80104e-05,4.80104e-05
28,4238.93,0.95455,0.57616,0.9456,0.95952,0.9314,0.97,0.7585,0.72625,0.38389,0.87121,4.60108e-05,4.60108e-05,4.60108e-05
29,4390.97,0.95112,0.57648,0.93986,0.95873,0.93241,0.9703,0.75904,0.72631,0.38383,0.87127,4.40112e-05,4.40112e-05,4.40112e-05
30,4545.48,0.94724,0.56995,0.94327,0.96181,0.93184,0.97039,0.76032,0.72667,0.38307,0.87097,4.20116e-05,4.20116e-05,4.20116e-05
