epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,591.36,0.75524,0.48713,0.92523,0.84663,0.76753,0.85545,0.66488,0.77714,0.49939,0.94682,0.066746,3.32873e-05,3.32873e-05
2,1153.86,0.73555,0.4682,0.92056,0.87499,0.78107,0.86853,0.68652,0.69604,0.44562,0.91863,0.0334447,6.52885e-05,6.52885e-05
3,1709.32,0.7294,0.45961,0.91909,0.89007,0.77179,0.87513,0.69024,0.7035,0.43984,0.92028,0.000141997,9.59566e-05,9.59566e-05
4,2262.75,0.7263,0.45321,0.91346,0.85329,0.79161,0.86646,0.69348,0.69033,0.43768,0.91644,9.40012e-05,9.40012e-05,9.40012e-05
5,2815.48,0.71692,0.44842,0.91284,0.871,0.77954,0.86678,0.68789,0.70278,0.44113,0.91923,9.20016e-05,9.20016e-05,9.20016e-05
6,3368.39,0.71696,0.44338,0.91314,0.86575,0.78152,0.86852,0.68422,0.7128,0.45124,0.92452,9.0002e-05,9.0002e-05,9.0002e-05
7,3921.13,0.71132,0.4375,0.91032,0.86214,0.79135,0.87067,0.68951,0.69384,0.43337,0.9191,8.80024e-05,8.80024e-05,8.80024e-05
8,4474.31,0.70419,0.43337,0.90785,0.87612,0.77532,0.85958,0.6789,0.70566,0.44765,0.91942,8.60028e-05,8.60028e-05,8.60028e-05
9,5027.39,0.69117,0.4252,0.89994,0.86469,0.77867,0.86665,0.68758,0.69387,0.43332,0.91707,8.40032e-05,8.40032e-05,8.40032e-05
10,5580.99,0.70063,0.42163,0.90385,0.88086,0.77548,0.8719,0.69645,0.68323,0.4295,0.91595,8.20036e-05,8.20036e-05,8.20036e-05
11,6135.29,0.67788,0.40868,0.90014,0.84106,0.80174,0.86817,0.6984,0.66995,0.43758,0.91187,8.0004e-05,8.0004e-05,8.0004e-05
12,6689.67,0.68479,0.41197,0.89988,0.85961,0.79393,0.8675,0.69734,0.69102,0.42967,0.91483,7.80044e-05,7.80044e-05,7.80044e-05
13,7244.09,0.67334,0.40343,0.89705,0.88454,0.77847,0.87697,0.70437,0.67363,0.42574,0.91143,7.60048e-05,7.60048e-05,7.60048e-05
14,7797.77,0.68031,0.40848,0.90068,0.86271,0.78652,0.86304,0.69465,0.66288,0.41856,0.91187,7.40052e-05,7.40052e-05,7.40052e-05
15,8350.81,0.67859,0.40899,0.90081,0.86494,0.78883,0.86034,0.69047,0.67773,0.42653,0.91279,7.20056e-05,7.20056e-05,7.20056e-05
16,8903.6,0.6683,0.39709,0.89592,0.86853,0.79361,0.8705,0.6978,0.67281,0.42149,0.91008,7.0006e-05,7.0006e-05,7.0006e-05
17,9456.71,0.66791,0.39441,0.89503,0.8545,0.80944,0.87121,0.7037,0.65267,0.41406,0.90668,6.80064e-05,6.80064e-05,6.80064e-05
18,10009.4,0.65784,0.3898,0.88962,0.88462,0.79088,0.8741,0.70779,0.65267,0.4169,0.90924,6.60068e-05,6.60068e-05,6.60068e-05
19,10562.2,0.65136,0.38237,0.89385,0.85742,0.81248,0.87156,0.70577,0.66134,0.41657,0.91081,6.40072e-05,6.40072e-05,6.40072e-05
20,11114.3,0.65728,0.38387,0.89084,0.89484,0.78489,0.87738,0.71383,0.64127,0.41092,0.90282,6.20076e-05,6.20076e-05,6.20076e-05
21,11667.3,0.64652,0.377,0.88668,0.88495,0.79689,0.87717,0.71327,0.64864,0.40785,0.90652,6.0008e-05,6.0008e-05,6.0008e-05
22,12219.8,0.63899,0.36902,0.88535,0.87082,0.79561,0.87554,0.71048,0.65764,0.41504,0.91024,5.80084e-05,5.80084e-05,5.80084e-05
23,12772.9,0.63262,0.36199,0.87973,0.86517,0.79956,0.87299,0.71389,0.64938,0.4173,0.90903,5.60088e-05,5.60088e-05,5.60088e-05
24,13326.1,0.63958,0.36336,0.88273,0.86833,0.79673,0.86849,0.71034,0.65356,0.41506,0.90886,5.40092e-05,5.40092e-05,5.40092e-05
