epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,327.871,1.73452,1.71444,1.51649,0.63197,0.56593,0.60802,0.31267,1.61995,1.58974,1.52932,0.0668743,6.63842e-05,6.63842e-05
2,651.644,1.6246,1.36859,1.44421,0.66592,0.62181,0.66009,0.346,1.59806,1.43505,1.47524,0.033605,0.00013039,0.00013039
3,975.051,1.60851,1.29483,1.425,0.66547,0.63563,0.66226,0.35776,1.5608,1.35009,1.46467,0.000332973,0.00019173,0.00019173
4,1296.34,1.57364,1.27103,1.39874,0.69395,0.67077,0.70242,0.37331,1.57791,1.26386,1.47372,0.000188002,0.000188002,0.000188002
5,1617.53,1.55607,1.25163,1.4048,0.75274,0.66509,0.73998,0.40415,1.52835,1.13186,1.47432,0.000184003,0.000184003,0.000184003
6,1938.78,1.52462,1.19044,1.36473,0.75108,0.67743,0.75029,0.42324,1.4831,1.12507,1.41341,0.000180004,0.000180004,0.000180004
7,2260.01,1.52332,1.15431,1.36481,0.75825,0.682,0.75804,0.42967,1.45973,1.10574,1.40437,0.000176005,0.000176005,0.000176005
8,2581.64,1.49867,1.1524,1.35366,0.77037,0.68273,0.7672,0.43681,1.4637,1.12357,1.43018,0.000172006,0.000172006,0.000172006
9,2902.75,1.47087,1.09487,1.33296,0.77295,0.6727,0.75827,0.42605,1.49471,1.07377,1.43422,0.000168006,0.000168006,0.000168006
10,3223.4,1.4868,1.0838,1.34254,0.76919,0.72367,0.79149,0.44871,1.45839,1.05976,1.41405,0.000164007,0.000164007,0.000164007
11,3544.58,1.46533,1.07096,1.33217,0.78423,0.72901,0.79016,0.45647,1.42798,1.03391,1.39348,0.000160008,0.000160008,0.000160008
12,3865.26,1.46041,1.04664,1.32437,0.78309,0.71931,0.79666,0.46039,1.43587,1.00022,1.38163,0.000156009,0.000156009,0.000156009
13,4185.86,1.4548,1.04037,1.3258,0.7834,0.74811,0.80969,0.46097,1.48038,0.99493,1.40743,0.00015201,0.00015201,0.00015201
14,4506.37,1.45195,1.04333,1.32865,0.79318,0.72672,0.80672,0.47068,1.42709,0.99438,1.38732,0.00014801,0.00014801,0.00014801
15,4826.97,1.44262,1.00587,1.3178,0.80245,0.72524,0.80878,0.4655,1.44407,0.98864,1.38312,0.000144011,0.000144011,0.000144011
16,5146.69,1.42195,0.99969,1.30964,0.79962,0.72936,0.81346,0.47108,1.44372,0.98116,1.40554,0.000140012,0.000140012,0.000140012
17,5466.89,1.40099,0.98671,1.31231,0.79939,0.71874,0.80933,0.47339,1.42982,0.97886,1.38836,0.000136013,0.000136013,0.000136013
18,5787.8,1.3962,0.96131,1.3123,0.80593,0.73616,0.82041,0.47957,1.41699,0.95051,1.37729,0.000132014,0.000132014,0.000132014
19,6108.13,1.39649,0.96848,1.29937,0.80473,0.73676,0.8234,0.48504,1.42481,0.94687,1.38396,0.000128014,0.000128014,0.000128014
20,6428.98,1.38432,0.92983,1.28223,0.80867,0.75334,0.82966,0.49603,1.39657,0.92091,1.35825,0.000124015,0.000124015,0.000124015
21,6749.46,1.3786,0.9402,1.28067,0.80048,0.7553,0.82729,0.49802,1.4037,0.91047,1.36247,0.000120016,0.000120016,0.000120016
22,7069.88,1.36736,0.93212,1.27445,0.79975,0.7419,0.81417,0.47886,1.42284,0.95464,1.38062,0.000116017,0.000116017,0.000116017
23,7389.82,1.35636,0.90392,1.27751,0.80669,0.7528,0.8278,0.49259,1.41677,0.91047,1.36552,0.000112018,0.000112018,0.000112018
24,7709.77,1.36829,0.89648,1.27273,0.81164,0.75102,0.83003,0.49609,1.41753,0.91431,1.38389,0.000108018,0.000108018,0.000108018
25,8029.98,1.35142,0.87747,1.27753,0.80336,0.78205,0.83839,0.50823,1.41341,0.88629,1.38529,0.000104019,0.000104019,0.000104019
26,8350.65,1.36412,0.88491,1.26951,0.81609,0.76525,0.8387,0.50678,1.3819,0.90745,1.3485,0.00010002,0.00010002,0.00010002
27,8670.5,1.35158,0.87173,1.2697,0.81411,0.77657,0.84451,0.50978,1.38404,0.87467,1.35214,9.60208e-05,9.60208e-05,9.60208e-05
28,8990.87,1.33861,0.85704,1.24572,0.80825,0.77282,0.8434,0.51426,1.39153,0.89097,1.36288,9.20216e-05,9.20216e-05,9.20216e-05
29,9311.34,1.31179,0.83419,1.26119,0.80486,0.75564,0.83506,0.5014,1.40765,0.88688,1.37003,8.80224e-05,8.80224e-05,8.80224e-05
30,9631.43,1.32005,0.83309,1.25492,0.83378,0.75234,0.84501,0.51272,1.40346,0.86066,1.37288,8.40232e-05,8.40232e-05,8.40232e-05
31,9951.19,1.30853,0.82672,1.24487,0.82116,0.77209,0.84613,0.5093,1.41457,0.86329,1.36333,8.0024e-05,8.0024e-05,8.0024e-05
32,10271.1,1.32254,0.81748,1.24243,0.82884,0.78504,0.85089,0.52,1.39008,0.85581,1.35549,7.60248e-05,7.60248e-05,7.60248e-05
33,10591.9,1.28753,0.79482,1.22569,0.82199,0.78604,0.8571,0.52504,1.39004,0.83716,1.3486,7.20256e-05,7.20256e-05,7.20256e-05
34,10912.3,1.2971,0.78084,1.22253,0.81979,0.78622,0.85638,0.52085,1.40701,0.84402,1.36271,6.80264e-05,6.80264e-05,6.80264e-05
35,11232.3,1.28538,0.77215,1.2272,0.8226,0.79086,0.85288,0.5231,1.38428,0.82466,1.35084,6.40272e-05,6.40272e-05,6.40272e-05
36,11552.5,1.2624,0.74519,1.20801,0.83249,0.78228,0.85956,0.5299,1.3902,0.8107,1.35892,6.0028e-05,6.0028e-05,6.0028e-05
37,11873,1.27155,0.74718,1.22142,0.81022,0.78763,0.85506,0.52894,1.3934,0.82085,1.3758,5.60288e-05,5.60288e-05,5.60288e-05
38,12193.2,1.25498,0.73322,1.2118,0.83454,0.7844,0.85718,0.53113,1.38449,0.81092,1.36066,5.20296e-05,5.20296e-05,5.20296e-05
39,296.448,1.25909,0.75804,1.23034,0.81179,0.79791,0.85632,0.5229,1.4031,0.83725,1.38229,4.80304e-05,4.80304e-05,4.80304e-05
40,586.19,1.25224,0.71911,1.22806,0.82842,0.77468,0.85724,0.52835,1.40172,0.80469,1.37171,4.40312e-05,4.40312e-05,4.40312e-05
41,877.306,1.24244,0.68487,1.25072,0.83455,0.78891,0.86483,0.53549,1.3978,0.78177,1.38483,4.0032e-05,4.0032e-05,4.0032e-05
42,1168.75,1.22719,0.64769,1.24453,0.83171,0.79477,0.86574,0.53805,1.39216,0.77398,1.38653,3.60328e-05,3.60328e-05,3.60328e-05
43,1458.9,1.20857,0.64007,1.23362,0.83568,0.79794,0.86612,0.5391,1.39129,0.7811,1.38218,3.20336e-05,3.20336e-05,3.20336e-05
44,1749.15,1.20786,0.62297,1.22569,0.82432,0.80325,0.86923,0.54276,1.38522,0.76853,1.3716,2.80344e-05,2.80344e-05,2.80344e-05
45,2039.63,1.20633,0.61233,1.21708,0.83004,0.80331,0.87114,0.54374,1.39342,0.75785,1.36286,2.40352e-05,2.40352e-05,2.40352e-05
